term,tag,value,pstv,neut,ngtv,dunno,distortion
по-праздничному,PSTV,1.0,0.8462,0.1154,0.0,0.0385,0.0
по-предательски,NGTV,-1.0,0.0,0.0741,0.8519,0.0741,0.0
по-приятельски,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
по-рабски,NGTV,-1.0,0.0385,0.0769,0.8462,0.0385,0.0402
по-родительски,PSTV,0.9231,0.64,0.2,0.06,0.1,0.0656
по-родственному,PSTV,0.9194,0.7308,0.2308,0.0,0.0385,0.0
по-рыцарски,PSTV,1.0,0.8148,0.0741,0.0,0.1111,0.0
по-свински,NGTV,-1.0,0.0,0.04,0.92,0.04,0.0
по-семейному,PSTV,0.9,0.66,0.22,0.02,0.1,0.0206
по-скотски,NGTV,-1.0,0.0741,0.1481,0.6667,0.1111,0.0823
по-товарищески,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
по-хамски,NGTV,-1.0,0.0385,0.0385,0.8846,0.0385,0.0401
по-хозяйски,PSTV,1.0,0.7407,0.1852,0.037000000000000005,0.037000000000000005,0.0389
по-хорошему,PSTV,0.9194,0.76,0.24,0.0,0.0,0.0
по-хулигански,NGTV,-1.0,0.0833,0.1111,0.7778,0.0278,0.0923
по-человечески,PSTV,1.0,0.72,0.08,0.08,0.12,0.0889
поаплодировать,PSTV,0.9,0.6951,0.2317,0.0366,0.0366,0.0385
побаиваться,NGTV,-0.9,0.0845,0.2113,0.6338,0.0704,0.0958
побаливать,NGTV,-1.0,0.08,0.16,0.64,0.12,0.09
победа,PSTV,1.0,0.72,0.16,0.08,0.04,0.0889
победитель,PSTV,1.0,0.7931,0.1379,0.0345,0.0345,0.036000000000000004
победительница,PSTV,1.0,0.8276,0.069,0.0,0.1034,0.0
победительный,PSTV,1.0,0.8519,0.0741,0.037000000000000005,0.037000000000000005,0.0386
победить,PSTV,1.0,0.8571,0.1071,0.0,0.0357,0.0
победный,PSTV,1.0,0.7692,0.0385,0.0,0.1923,0.0
победоносный,PSTV,1.0,0.88,0.04,0.04,0.04,0.0418
побеждать,PSTV,1.0,0.8571,0.1071,0.0357,0.0,0.0372
побездельничать,NGTV,-0.6681,0.1176,0.3235,0.5196,0.0392,0.1443
поберечь,PSTV,1.0,0.7692,0.1538,0.0385,0.0385,0.0404
побеситься,NGTV,-0.7091,0.1604,0.2264,0.5283,0.0849,0.2091
побеспокоить,NGTV,-0.6639,0.05,0.34,0.54,0.07,0.0546
побить,NGTV,-0.9,0.0513,0.2308,0.6923,0.0256,0.0551
поблагодарить,PSTV,1.0,0.96,0.04,0.0,0.0,0.0
побледнение,NGTV,-0.6667,0.0377,0.3302,0.5283,0.1038,0.0404
побледнеть,NGTV,-0.75,0.1,0.28,0.56,0.06,0.1179
побои,NGTV,-1.0,0.0,0.0357,0.9286,0.0357,0.0
побоище,NGTV,-0.9474,0.0286,0.2,0.6857,0.0857,0.0298
поболеть,NGTV,-0.7435,0.1154,0.2788,0.5481,0.0577,0.1397
побояться,NGTV,-0.6842,0.09,0.31,0.52,0.08,0.1056
побрезговать,NGTV,-1.0,0.04,0.12,0.64,0.2,0.0425
побурчать,NGTV,-0.9153,0.1066,0.1885,0.5902,0.1148,0.1258
пованивать,NGTV,-1.0,0.04,0.08,0.72,0.16,0.0422
повезти,PSTV,0.8333,0.625,0.25,0.0357,0.0893,0.0378
повеселеть,PSTV,1.0,0.7857,0.1429,0.0357,0.0357,0.0373
повеселить,PSTV,1.0,0.8077,0.0769,0.0,0.1154,0.0
повеселиться,PSTV,1.0,0.8621,0.069,0.0,0.069,0.0
повеситься,NGTV,-1.0,0.0882,0.0588,0.7941,0.0588,0.098
повестись,NGTV,-0.7427,0.098,0.2549,0.5,0.1471,0.1173
повиноваться,NGTV,-0.6356,0.0784,0.3333,0.4902,0.098,0.091
повоевать,NGTV,-1.0,0.1471,0.1373,0.6275,0.0882,0.1815
поворчать,NGTV,-0.8363,0.08,0.25,0.63,0.04,0.0902
повредить,NGTV,-1.0,0.04,0.12,0.8,0.04,0.042
повредиться,NGTV,-1.0,0.08,0.04,0.84,0.04,0.0876
повреждать,NGTV,-1.0,0.136,0.10400000000000001,0.696,0.064,0.1626
повреждаться,NGTV,-1.0,0.0,0.16,0.84,0.0,0.0
повреждение,NGTV,-1.0,0.04,0.04,0.84,0.08,0.0419
повымирать,NGTV,-1.0,0.0333,0.1,0.7333,0.1333,0.0348
повыситься,PSTV,0.9,0.6667,0.2222,0.037000000000000005,0.0741,0.0391
повышение,PSTV,0.9,0.72,0.24,0.0,0.04,0.0
повянуть,NGTV,-1.0,0.0714,0.1071,0.5357,0.2857,0.081
поганец,NGTV,-1.0,0.0,0.0357,0.8571,0.1071,0.0
поганка,NGTV,-0.9,0.0185,0.2222,0.6667,0.0926,0.019
поганый,NGTV,-1.0,0.04,0.08,0.84,0.04,0.0419
погибать,NGTV,-1.0,0.0,0.1786,0.8214,0.0,0.0
погибель,NGTV,-1.0,0.0385,0.1154,0.7692,0.0769,0.0404
погибнуть,NGTV,-1.0,0.0,0.1379,0.8276,0.0345,0.0
поглаживание,PSTV,1.0,0.7692,0.1923,0.0,0.0385,0.0
поглаживать,PSTV,1.0,0.6897,0.1724,0.0345,0.1034,0.0362
поглупеть,NGTV,-1.0,0.0,0.16,0.84,0.0,0.0
погнить,NGTV,-1.0,0.0357,0.1429,0.6429,0.1786,0.0377
поголодать,NGTV,-0.7051,0.08,0.31,0.55,0.06,0.0916
погоревать,NGTV,-0.9286,0.08,0.16,0.52,0.24,0.0923
погорелец,NGTV,-1.0,0.08,0.12,0.6,0.2,0.0907
погорячиться,NGTV,-0.9706,0.0857,0.1714,0.6286,0.1143,0.0974
пограбить,NGTV,-1.0,0.0385,0.0769,0.8077,0.0769,0.0403
погребальный,NGTV,-0.9129999999999999,0.025,0.225,0.7,0.05,0.0259
погреться,PSTV,0.9,0.675,0.225,0.05,0.05,0.0537
погрозить,NGTV,-1.0,0.0,0.1154,0.8462,0.0385,0.0
погром,NGTV,-1.0,0.037000000000000005,0.1481,0.7037,0.1111,0.039
погрустить,NGTV,-0.9,0.0645,0.2258,0.6774,0.0323,0.0707
погрустнеть,NGTV,-0.9375,0.0455,0.2045,0.6818,0.0682,0.0485
погрязнуть,NGTV,-0.9194,0.069,0.2069,0.6552,0.069,0.0762
погубить,NGTV,-1.0,0.037000000000000005,0.1111,0.7407,0.1111,0.0389
подавиться,NGTV,-0.8731,0.0598,0.2393,0.6667,0.0342,0.0652
подавленность,NGTV,-1.0,0.0,0.12,0.88,0.0,0.0
подавлять,NGTV,-0.7075,0.099,0.2772,0.495,0.1287,0.1188
подарить,PSTV,1.0,0.92,0.08,0.0,0.0,0.0
подарок,PSTV,1.0,0.72,0.16,0.0,0.12,0.0
подарочек,PSTV,1.0,0.6667,0.1667,0.0333,0.1333,0.035
подарочный,PSTV,1.0,0.7692,0.0769,0.0385,0.1154,0.0404
подачка,NGTV,-0.68,0.1373,0.2353,0.4706,0.1569,0.1773
подбадривание,PSTV,1.0,0.9688,0.0313,0.0,0.0,0.0
подбадривать,PSTV,0.9,0.6,0.2,0.0,0.2,0.0
подбадриваться,PSTV,1.0,0.8214,0.1071,0.0357,0.0357,0.0373
подбодрить,PSTV,1.0,0.8,0.0444,0.0889,0.0667,0.0988
подбодриться,PSTV,1.0,0.7857,0.1429,0.0357,0.0357,0.0373
подбодрять,PSTV,1.0,0.7692,0.1923,0.0,0.0385,0.0
подвергать,NGTV,-0.657,0.0891,0.3366,0.5248,0.0495,0.1042
подвиг,PSTV,1.0,0.92,0.04,0.0,0.04,0.0
подвижность,PSTV,0.8684,0.66,0.24,0.05,0.05,0.0538
подводить,NGTV,-0.7909,0.1204,0.2407,0.537,0.1019,0.1473
подвох,NGTV,-0.9444,0.08,0.2,0.68,0.04,0.0894
подвыпить,NGTV,-0.7364,0.0792,0.2772,0.5347,0.1089,0.0909
подгадить,NGTV,-1.0,0.0789,0.0789,0.7895,0.0526,0.0868
подглядывание,NGTV,-0.9444,0.04,0.2,0.68,0.08,0.0424
подглядывать,NGTV,-0.7174,0.06,0.3,0.55,0.09,0.0665
подгнивать,NGTV,-1.0,0.0,0.1154,0.8077,0.0769,0.0
подговаривать,NGTV,-1.0,0.0,0.16,0.84,0.0,0.0
подговорить,NGTV,-0.8714,0.1188,0.2178,0.604,0.0594,0.1422
подгорать,NGTV,-0.9444,0.08,0.2,0.68,0.04,0.0894
подгорелый,NGTV,-0.9894,0.087,0.1739,0.6739,0.0652,0.0982
подгореть,NGTV,-0.8739,0.1111,0.2222,0.6204,0.0463,0.131
подготовленность,PSTV,1.0,0.84,0.12,0.04,0.0,0.0419
поддакивание,NGTV,-0.6897,0.1584,0.2178,0.505,0.1188,0.2081
поддакивать,NGTV,-0.6182,0.1714,0.2286,0.4952,0.1048,0.2308
подделать,NGTV,-0.9857,0.0606,0.1818,0.6970000000000001,0.0606,0.0659
подделка,NGTV,-0.9,0.0811,0.2162,0.6486,0.0541,0.0912
подделыватель,NGTV,-0.9783,0.04,0.16,0.6,0.2,0.0427
подделывать,NGTV,-0.9643,0.04,0.2,0.72,0.04,0.0422
подделываться,NGTV,-0.7035,0.07,0.3,0.53,0.1,0.0792
поддельность,NGTV,-0.9,0.0313,0.2188,0.6563,0.0938,0.0327
поддельный,NGTV,-1.0,0.04,0.12,0.8,0.04,0.042
поддельщик,NGTV,-1.0,0.0833,0.1667,0.6875,0.0625,0.0934
поддержать,PSTV,0.9643,0.6923,0.1923,0.0769,0.0385,0.0855
поддерживание,PSTV,1.0,0.8077,0.1923,0.0,0.0,0.0
поддерживать,PSTV,1.0,0.72,0.16,0.04,0.08,0.0422
поддержка,PSTV,1.0,0.96,0.04,0.0,0.0,0.0
поддонок,NGTV,-0.8029999999999999,0.0693,0.2277,0.5248,0.1782,0.0785
поддразнивание,NGTV,-0.9878,0.0864,0.1728,0.6667,0.0741,0.0976
поддразнивать,NGTV,-0.8714,0.1058,0.2115,0.5865,0.0962,0.1248
поддразнить,NGTV,-0.9,0.0741,0.2222,0.6667,0.037000000000000005,0.0823
поджечь,NGTV,-0.6102,0.07,0.35,0.48,0.1,0.0802
поджигание,NGTV,-0.6429,0.0874,0.3301,0.4951,0.0874,0.1028
поджигатель,NGTV,-1.0,0.08,0.08,0.72,0.12,0.0889
поджигательница,NGTV,-0.9194,0.0,0.24,0.76,0.0,0.0
поджигать,NGTV,-0.6176,0.06,0.35,0.49,0.1,0.0673
поджог,NGTV,-1.0,0.0769,0.0769,0.7692,0.0769,0.0846
подзарядка,PSTV,0.9146,0.6944,0.2222,0.0278,0.0556,0.0289
подзатыльник,NGTV,-1.0,0.0,0.12,0.76,0.12,0.0
подкапываться,NGTV,-0.6681,0.0588,0.3235,0.5196,0.098,0.0655
подкармливать,PSTV,0.8333,0.6373,0.2549,0.0686,0.0392,0.076
подкачаться,PSTV,0.9231,0.7273,0.2273,0.0,0.0455,0.0
подкашиваться,NGTV,-0.8196,0.0857,0.2095,0.5048,0.2,0.1003
подкидыш,NGTV,-0.7569,0.0495,0.2673,0.5446,0.1386,0.054000000000000006
подкованность,PSTV,0.9828,0.5429,0.1429,0.0857,0.2286,0.0992
подкол,NGTV,-0.6422,0.15,0.27,0.5,0.08,0.195
подкормить,PSTV,1.0,0.7692,0.1538,0.0,0.0769,0.0
подкосить,NGTV,-0.6176,0.0686,0.3431,0.4804,0.1078,0.0784
подкоситься,NGTV,-0.7091,0.1078,0.2843,0.5098,0.098,0.1307
подкрепиться,PSTV,0.9194,0.7037,0.2222,0.0,0.0741,0.0
подкрепление,PSTV,0.9444,0.68,0.2,0.0,0.12,0.0
подкуп,NGTV,-1.0,0.0,0.1154,0.8846,0.0,0.0
подкупать,NGTV,-1.0,0.0769,0.1538,0.6154,0.1538,0.0865
подкупить,NGTV,-0.9,0.0769,0.2308,0.6923,0.0,0.0855
подкурить,NGTV,-0.6468,0.1,0.31,0.47,0.12,0.1213
подлечивать,PSTV,1.0,0.7931,0.1379,0.0345,0.0345,0.036000000000000004
подлечить,PSTV,1.0,0.7692,0.1923,0.0,0.0385,0.0
подлечиться,PSTV,0.9,0.72,0.24,0.0,0.04,0.0
подлиза,NGTV,-1.0,0.04,0.12,0.8,0.04,0.042
подлизаться,NGTV,-1.0,0.0889,0.0444,0.7333,0.1333,0.0997
подлизываться,NGTV,-1.0,0.0948,0.1293,0.7069,0.069,0.1075
подломиться,NGTV,-0.7294,0.06,0.28,0.53,0.13,0.0668
подлость,NGTV,-1.0,0.04,0.12,0.76,0.08,0.0421
подлый,NGTV,-1.0,0.037000000000000005,0.037000000000000005,0.8519,0.0741,0.0386
подлянка,NGTV,-0.9444,0.0,0.1923,0.6538,0.1538,0.0
подмазаться,NGTV,-1.0,0.0714,0.1786,0.7143,0.0357,0.0786
подмазываться,NGTV,-1.0,0.08,0.08,0.8,0.04,0.08800000000000001
подмен,NGTV,-0.8077,0.08800000000000001,0.192,0.44799999999999995,0.272,0.1053
подмена,NGTV,-0.6732,0.0571,0.3333,0.5429,0.0667,0.0632
подмога,PSTV,0.9545,0.6774,0.1935,0.0,0.129,0.0
подмёрзнуть,NGTV,-0.7105,0.09,0.3,0.54,0.07,0.105
подножка,NGTV,-0.9783,0.08,0.16,0.6,0.16,0.0907
подобреть,PSTV,1.0,0.96,0.0,0.04,0.0,0.0417
подозрение,NGTV,-0.7925,0.1182,0.2273,0.5091,0.1455,0.1456
подозрительность,NGTV,-0.6964,0.0882,0.2941,0.5098,0.1078,0.1035
подозрительный,NGTV,-1.0,0.0857,0.1143,0.7714,0.0286,0.0952
подонок,NGTV,-1.0,0.0,0.0385,0.8846,0.0769,0.0
подорвать,NGTV,-1.0,0.08,0.12,0.64,0.16,0.09
подорожание,NGTV,-0.9,0.0556,0.2222,0.6667,0.0556,0.0602
подорожать,NGTV,-0.75,0.1089,0.2772,0.5545,0.0594,0.1303
подохнуть,NGTV,-1.0,0.0385,0.0769,0.8462,0.0385,0.0402
подпалить,NGTV,-0.8168,0.049,0.2255,0.5392,0.1863,0.0535
подпортить,NGTV,-1.0,0.0,0.0,1.0,0.0,0.0
подразнить,NGTV,-0.7696,0.0971,0.2718,0.5728,0.0583,0.1135
подраться,NGTV,-1.0,0.0385,0.1923,0.7692,0.0,0.0404
подруга,PSTV,1.0,0.76,0.16,0.04,0.04,0.0421
подруженька,PSTV,0.9,0.72,0.24,0.0,0.04,0.0
подружить,PSTV,1.0,0.84,0.12,0.0,0.04,0.0
подружиться,PSTV,1.0,0.8519,0.037000000000000005,0.0741,0.037000000000000005,0.0805
подружка,PSTV,0.9783,0.6,0.16,0.08,0.16,0.0907
подрывать,NGTV,-1.0,0.04,0.12,0.8,0.04,0.042
подсказка,PSTV,1.0,0.72,0.04,0.0,0.24,0.0
подсказчик,PSTV,0.9286,0.52,0.16,0.08,0.24,0.0923
подслушать,NGTV,-0.723,0.0661,0.2975,0.5537,0.0826,0.07400000000000001
подслушивание,NGTV,-0.9783,0.0769,0.1538,0.5769,0.1923,0.0872
подслушивать,NGTV,-0.9255,0.0244,0.2195,0.7073,0.0488,0.0252
подсматривание,NGTV,-0.9444,0.0769,0.1923,0.6538,0.0769,0.086
подсматривать,NGTV,-0.9,0.037000000000000005,0.2222,0.6667,0.0741,0.0391
подсмеиваться,NGTV,-0.7642,0.1275,0.2549,0.5294,0.0882,0.1581
подсмотреть,NGTV,-0.7619,0.1359,0.2427,0.5243,0.0971,0.1712
подстава,NGTV,-1.0,0.0,0.1538,0.8077,0.0385,0.0
подставить,NGTV,-0.8058,0.0777,0.2718,0.6311,0.0194,0.0872
подставлять,NGTV,-0.75,0.12,0.28,0.56,0.04,0.1457
подстерегать,NGTV,-0.6579,0.1176,0.3137,0.4902,0.0784,0.1459
подстраховка,PSTV,0.9,0.6506,0.2169,0.0602,0.0723,0.0658
подстрекать,NGTV,-0.9231,0.08,0.2,0.64,0.08,0.09
подстреливать,NGTV,-1.0,0.0,0.1481,0.7407,0.1111,0.0
подстрелить,NGTV,-0.9,0.0294,0.2353,0.7059,0.0294,0.0306
подсудимая,NGTV,-0.9643,0.069,0.1724,0.6207,0.1379,0.0766
подсудимый,NGTV,-1.0,0.0882,0.1471,0.6765,0.0882,0.0997
подсунуть,NGTV,-0.625,0.0331,0.3471,0.4959,0.124,0.0353
подтанцовывать,PSTV,1.0,0.6538,0.1538,0.0769,0.1154,0.086
подтасовывать,NGTV,-0.9156,0.075,0.1875,0.5875,0.15,0.0846
подташнивание,NGTV,-1.0,0.0769,0.1154,0.7308,0.0769,0.085
подтекать,NGTV,-0.6429,0.1,0.3,0.45,0.15,0.1222
подтормаживать,NGTV,-0.6818,0.0792,0.3267,0.5446,0.0495,0.0907
подтянутость,PSTV,1.0,0.8,0.12,0.08,0.0,0.08800000000000001
подубасить,NGTV,-1.0,0.0891,0.1386,0.6337,0.1386,0.1016
подучиться,PSTV,0.9,0.6522,0.2174,0.057999999999999996,0.0725,0.0631
подхалим,NGTV,-1.0,0.0,0.1,0.5667,0.3333,0.0
подхалимаж,NGTV,-1.0,0.0,0.08,0.68,0.24,0.0
подхалимствовать,NGTV,-1.0,0.0769,0.0769,0.7692,0.0769,0.0846
подходящий,PSTV,0.9194,0.5588,0.1765,0.0294,0.2353,0.031
подчиниться,NGTV,-0.6026,0.1,0.35,0.47,0.08,0.1213
подыхать,NGTV,-1.0,0.11,0.09,0.73,0.07,0.1266
пожадничать,NGTV,-1.0,0.0385,0.0769,0.8846,0.0,0.0401
пожаловаться,NGTV,-0.9,0.0847,0.2034,0.6102,0.1017,0.0965
пожар,NGTV,-0.9444,0.0,0.2,0.68,0.12,0.0
пожарище,NGTV,-0.9231,0.08,0.2,0.64,0.08,0.09
пожароопасность,NGTV,-1.0,0.0769,0.1538,0.6154,0.1538,0.0865
пожелание,PSTV,0.9,0.6923,0.2308,0.0385,0.0385,0.0406
пожениться,PSTV,0.9545,0.56,0.16,0.04,0.24,0.0429
пожертвование,PSTV,1.0,0.84,0.04,0.0,0.12,0.0
пожертвовать,PSTV,0.9906,0.6796,0.1748,0.0874,0.0583,0.0986
пожирание,NGTV,-1.0,0.0,0.08,0.8,0.12,0.0
пожирательница,NGTV,-0.9828,0.0,0.1786,0.6786,0.1429,0.0
пожирать,NGTV,-1.0,0.08,0.12,0.8,0.0,0.08800000000000001
пожирнеть,NGTV,-1.0,0.0,0.0741,0.8889,0.037000000000000005,0.0
пожухнуть,NGTV,-0.9,0.0746,0.1642,0.4925,0.2687,0.0859
позабавить,PSTV,1.0,0.8,0.16,0.0,0.04,0.0
позабавиться,PSTV,0.9,0.7,0.2333,0.0333,0.0333,0.0349
позаботиться,PSTV,1.0,0.9231,0.0769,0.0,0.0,0.0
позабывать,NGTV,-0.6026,0.09,0.35,0.47,0.09,0.1072
позавидовать,NGTV,-1.0,0.04,0.16,0.8,0.0,0.042
позавтракать,PSTV,1.0,0.7407,0.1852,0.0741,0.0,0.0815
поздороваться,PSTV,1.0,0.8333,0.1667,0.0,0.0,0.0
поздравительный,PSTV,1.0,0.88,0.04,0.0,0.08,0.0
поздравить,PSTV,1.0,0.9091,0.0909,0.0,0.0,0.0
поздравление,PSTV,1.0,0.7407,0.0741,0.0,0.1852,0.0
поздравлять,PSTV,1.0,0.8,0.12,0.04,0.04,0.042
позитив,PSTV,1.0,0.92,0.04,0.04,0.0,0.0417
позитивность,PSTV,1.0,0.88,0.12,0.0,0.0,0.0
позитивный,PSTV,1.0,0.8421,0.0351,0.0877,0.0351,0.0969
позлить,NGTV,-1.0,0.1287,0.1089,0.7228,0.0396,0.1516
позлиться,NGTV,-1.0,0.0769,0.0385,0.8846,0.0,0.0836
позлорадствовать,NGTV,-1.0,0.0769,0.0385,0.8462,0.0385,0.0839
познавание,PSTV,1.0,0.75,0.1071,0.0357,0.1071,0.0374
познавательный,PSTV,0.9643,0.72,0.2,0.04,0.04,0.0422
познавать,PSTV,1.0,0.7586,0.1379,0.069,0.0345,0.0752
познание,PSTV,0.9,0.7105,0.2368,0.0526,0.0,0.0565
познать,PSTV,1.0,0.7857,0.1786,0.0,0.0357,0.0
позор,NGTV,-1.0,0.0769,0.1154,0.7692,0.0385,0.0846
позорить,NGTV,-1.0,0.04,0.04,0.88,0.04,0.0418
позориться,NGTV,-1.0,0.0357,0.1071,0.8571,0.0,0.0372
позорище,NGTV,-1.0,0.0893,0.0536,0.8036,0.0536,0.0992
позорный,NGTV,-1.0,0.0,0.12,0.8,0.08,0.0
поиздеваться,NGTV,-1.0,0.04,0.08,0.8,0.08,0.042
поизноситься,NGTV,-1.0,0.04,0.12,0.64,0.2,0.0425
показной,NGTV,-0.7035,0.12,0.26,0.47,0.15,0.1506
показуха,NGTV,-1.0,0.0,0.1154,0.8462,0.0385,0.0
покалечить,NGTV,-1.0,0.0,0.0,0.92,0.08,0.0
покалечиться,NGTV,-1.0,0.04,0.12,0.84,0.0,0.0419
покапризничать,NGTV,-1.0,0.0385,0.1154,0.8077,0.0385,0.0403
покаяться,PSTV,0.9,0.5941,0.198,0.1287,0.0792,0.1566
поквитаться,NGTV,-0.8791,0.17,0.13,0.57,0.13,0.2207
покинутый,NGTV,-0.9,0.0482,0.2169,0.6506,0.0843,0.0518
покладистость,PSTV,1.0,0.7308,0.1538,0.0385,0.0769,0.0405
покладистый,PSTV,0.9194,0.6333,0.2,0.0667,0.1,0.0737
покойник,NGTV,-0.6429,0.09,0.32,0.48,0.11,0.1069
поколотить,NGTV,-0.9,0.0769,0.1923,0.5769,0.1538,0.0872
покорять,PSTV,0.8832,0.63,0.22,0.07,0.08,0.0778
покоситься,NGTV,-0.7222,0.09,0.28,0.52,0.11,0.1056
покривить,NGTV,-0.8438,0.11,0.21,0.54,0.14,0.1324
покривиться,NGTV,-0.9156,0.057999999999999996,0.2174,0.6812,0.0435,0.0629
покривляться,NGTV,-0.6818,0.06,0.33,0.55,0.06,0.0665
покрикивание,NGTV,-0.7018,0.1,0.29,0.51,0.1,0.1196
покуривать,NGTV,-1.0,0.04,0.16,0.68,0.12,0.0424
покурить,NGTV,-0.8036,0.1078,0.2549,0.5882,0.049,0.1276
покусать,NGTV,-1.0,0.0,0.16,0.72,0.12,0.0
покушать,PSTV,0.9545,0.6774,0.1935,0.0323,0.0968,0.0338
покушение,NGTV,-0.9828,0.0385,0.1923,0.7308,0.0385,0.0405
поладить,PSTV,1.0,0.85,0.15,0.0,0.0,0.0
полакомиться,PSTV,1.0,0.7429,0.0857,0.0857,0.0857,0.0956
полегчать,PSTV,1.0,0.8214,0.1429,0.0,0.0357,0.0
полезнейший,PSTV,1.0,0.92,0.08,0.0,0.0,0.0
полезность,PSTV,1.0,0.9615,0.0385,0.0,0.0,0.0
полезный,PSTV,1.0,0.92,0.04,0.0,0.04,0.0
полениться,NGTV,-0.9,0.0357,0.2143,0.6429,0.1071,0.0377
полечить,PSTV,0.9138,0.6795,0.2179,0.0256,0.0769,0.0266
полиглот,PSTV,0.8208,0.58,0.24,0.07,0.11,0.0784
полноценный,PSTV,1.0,0.7857,0.1429,0.0357,0.0357,0.0373
положительный,PSTV,1.0,0.8,0.12,0.0,0.08,0.0
поломать,NGTV,-1.0,0.08,0.16,0.68,0.08,0.0894
поломаться,NGTV,-0.9868,0.0875,0.1625,0.625,0.125,0.0998
поломка,NGTV,-1.0,0.0357,0.1071,0.8214,0.0357,0.0373
полоумный,NGTV,-0.9643,0.04,0.2,0.72,0.04,0.0422
полтергейст,NGTV,-0.9375,0.0811,0.1622,0.5405,0.2162,0.0932
полуграмотный,NGTV,-0.7809999999999999,0.0367,0.2661,0.578,0.1193,0.039
полуживой,NGTV,-0.9643,0.0741,0.1852,0.6667,0.0741,0.0823
полумёртвый,NGTV,-0.7571,0.1,0.26,0.53,0.11,0.1189
полуобморок,NGTV,-0.9,0.0204,0.2245,0.6735,0.0816,0.021
полуправда,NGTV,-0.6102,0.08,0.35,0.48,0.09,0.0933
полуразрушенный,NGTV,-0.6774,0.0481,0.3269,0.5385,0.0865,0.0524
полуслепой,NGTV,-0.7368,0.0588,0.2843,0.5489999999999999,0.1078,0.0651
получаться,PSTV,0.8421,0.6038,0.2358,0.0189,0.1415,0.0195
получиться,PSTV,0.8628,0.6436,0.2376,0.0594,0.0594,0.0649
полысеть,NGTV,-0.8243,0.0777,0.2427,0.5922,0.0874,0.0879
польза,PSTV,1.0,0.8462,0.1538,0.0,0.0,0.0
польститься,NGTV,-0.9878,0.087,0.1522,0.5870000000000001,0.1739,0.0998
полюбить,PSTV,1.0,0.8519,0.1481,0.0,0.0,0.0
полюбиться,PSTV,1.0,0.7353,0.1765,0.0882,0.0,0.0988
полюбоваться,PSTV,1.0,0.8148,0.1111,0.0,0.0741,0.0
помарка,NGTV,-0.7844,0.0294,0.2549,0.5588,0.1569,0.031
помаяться,NGTV,-0.72,0.1058,0.25,0.4615,0.1827,0.13
помереть,NGTV,-0.9,0.0857,0.2,0.6,0.1143,0.098
померкнуть,NGTV,-0.7170000000000001,0.14,0.26,0.52,0.08,0.1777
помеха,NGTV,-1.0,0.0769,0.1154,0.7308,0.0769,0.085
помешательство,NGTV,-0.9828,0.069,0.1724,0.6552,0.1034,0.0762
помешать,NGTV,-0.6933,0.0392,0.3137,0.5392,0.1078,0.0421
помешаться,NGTV,-1.0,0.08,0.08,0.72,0.12,0.0889
помидорчик,PSTV,0.9,0.6563,0.2188,0.0,0.125,0.0
помилование,PSTV,1.0,0.7407,0.1481,0.0,0.1111,0.0
помиловать,PSTV,1.0,0.96,0.04,0.0,0.0,0.0
поминки,NGTV,-0.8465,0.09,0.22,0.57,0.12,0.1042
помирать,NGTV,-1.0,0.04,0.16,0.76,0.04,0.0421
помирить,PSTV,1.0,0.8276,0.1379,0.0345,0.0,0.0359
помириться,PSTV,1.0,0.8929,0.1071,0.0,0.0,0.0
помогать,PSTV,1.0,0.8462,0.0385,0.0385,0.0769,0.0402
помои,NGTV,-1.0,0.0741,0.1111,0.7407,0.0741,0.0815
помойка,NGTV,-0.9,0.0426,0.23399999999999999,0.7021,0.0213,0.0451
помойный,NGTV,-1.0,0.037000000000000005,0.0741,0.8519,0.037000000000000005,0.0386
помолодеть,PSTV,0.9,0.6667,0.2222,0.037000000000000005,0.0741,0.0391
поморщиться,NGTV,-0.6074,0.0874,0.3495,0.4757,0.0874,0.1034
помочь,PSTV,1.0,0.76,0.16,0.04,0.04,0.0421
помощник,PSTV,0.8672,0.7048,0.2571,0.019,0.019,0.0196
помощница,PSTV,0.9167,0.6377,0.2029,0.087,0.0725,0.0988
помощь,PSTV,1.0,0.92,0.08,0.0,0.0,0.0
помрачнеть,NGTV,-1.0,0.0769,0.1538,0.7308,0.0385,0.085
помутнение,NGTV,-0.9079,0.0429,0.2143,0.6571,0.0857,0.0457
помутнеть,NGTV,-0.612,0.0594,0.3663,0.505,0.0693,0.0664
помучить,NGTV,-1.0,0.0857,0.0857,0.8,0.0286,0.0949
помучиться,NGTV,-1.0,0.0,0.0714,0.8929,0.0357,0.0
помятость,NGTV,-0.9,0.0333,0.2,0.6,0.1667,0.0352
помятый,NGTV,-0.7649,0.0857,0.2643,0.55,0.1,0.0991
помёрзнуть,NGTV,-1.0,0.08,0.16,0.64,0.12,0.09
понаехать,NGTV,-1.0,0.08,0.1,0.66,0.16,0.0897
понапрасну,NGTV,-0.7432,0.07,0.28,0.55,0.1,0.0789
поневоле,NGTV,-1.0,0.0385,0.1538,0.7692,0.0385,0.0404
понежиться,PSTV,1.0,0.8,0.0,0.0,0.2,0.0
понервничать,NGTV,-0.8056,0.09,0.25,0.58,0.08,0.10400000000000001
понижение,NGTV,-0.6714,0.1,0.29,0.47,0.14,0.1213
понизить,NGTV,-0.7301,0.08,0.29,0.55,0.08,0.0916
